Country Name,Mean,Mean,Mean,Mean,Mean
,MfctVA GDP,CommoditiesVA GDP,MfctNX GDP,NX GDP,country cat
Albania,0.07307,0.39447,-0.16304,-0.24677,1.00000
Argentina,0.20729,0.17988,-0.04431,0.02675,1.00000
Australia,0.14204,0.21050,-0.09142,-0.00950,2.00000
Austria,0.20848,0.14234,-0.00350,-0.03793,2.00000
Bangladesh,0.15570,0.32950,-0.01540,-0.06763,1.00000
Belgium,0.20804,0.11716,0.06258,0.01123,2.00000
Benin,0.13333,0.37252,-0.11996,-0.11616,1.00000
Bolivia,0.15275,0.31305,-0.16349,-0.00452,1.00000
Brazil,0.22946,0.19522,-0.01235,0.00777,1.00000
Burkina Faso,0.12730,0.41551,-0.13081,-0.12681,1.00000
Cameroon,0.14840,0.34954,-0.10958,-0.02452,1.00000
Canada,0.16522,0.18233,-0.04810,0.01482,2.00000
Central African Republic,0.08006,0.57289,-0.04257,-0.01961,1.00000
Chile,0.18517,0.26007,-0.12219,0.00897,1.00000
Colombia,0.18516,0.29453,-0.07406,-0.01055,1.00000
"Congo, Rep.",0.06142,0.57023,-0.16795,0.21642,1.00000
Costa Rica,0.19588,0.21226,-0.16273,-0.08781,1.00000
Cote d'Ivoire,0.13559,0.34828,-0.11786,0.09139,1.00000
Denmark,0.16495,0.12846,-0.02096,0.00327,2.00000
Dominican Republic,0.19714,0.24530,-0.09149,-0.09808,1.00000
Ecuador,0.17953,0.29279,-0.12618,0.00818,1.00000
El Salvador,0.19009,0.26679,-0.12813,-0.12212,1.00000
Finland,0.23711,0.16251,0.04044,0.01530,2.00000
France,0.16719,0.12329,0.00725,-0.01344,2.00000
Germany,0.22896,0.09122,0.08099,0.04177,2.00000
Ghana,0.08846,0.52181,-0.19141,-0.06811,1.00000
Greece,0.13341,0.17725,-0.08978,-0.11888,2.00000
Guatemala,0.16687,0.27185,-0.11896,-0.08268,1.00000
Honduras,0.17371,0.29798,-0.22796,-0.07670,1.00000
India,0.18185,0.40759,-0.00193,-0.03083,1.00000
Indonesia,0.22953,0.36885,-0.04711,0.06155,1.00000
"Iran, Islamic Rep.",0.12667,0.38235,-0.10358,0.03337,1.00000
Ireland,0.23311,0.12581,0.07081,0.08971,2.00000
Israel,0.15725,0.09203,-0.05305,-0.11486,2.00000
Italy,0.21377,0.13049,0.04532,-0.00560,2.00000
Jamaica,0.10027,0.20470,-0.10879,-0.20960,1.00000
Japan,0.25344,0.12461,0.06471,0.01201,2.00000
Jordan,0.14922,0.17279,-0.21749,-0.36939,1.00000
Kenya,0.11818,0.38518,-0.13127,-0.10394,1.00000
"Korea, Rep.",0.26626,0.20137,0.08713,-0.00918,1.00000
Lebanon,0.10580,0.14956,-0.19637,-0.34866,1.00000
Madagascar,0.11722,0.31878,-0.10420,-0.09310,1.00000
Malaysia,0.25614,0.27783,-0.06647,0.08888,1.00000
Mexico,0.19427,0.21913,-0.03211,-0.00646,1.00000
Morocco,0.19870,0.25476,-0.08048,-0.11570,1.00000
Namibia,0.11633,0.29381,-0.19631,-0.15605,1.00000
Nepal,0.06787,0.55130,-0.11315,-0.17513,1.00000
Netherlands,0.16724,0.14560,-0.00849,0.01963,2.00000
New Zealand,0.19304,0.17665,-0.11751,-0.00797,2.00000
Niger,0.06094,0.50938,-0.12917,-0.10049,1.00000
Nigeria,0.13645,0.36228,-0.14564,0.12284,1.00000
Norway,0.12610,0.26442,-0.09188,0.05549,2.00000
Pakistan,0.15618,0.34927,-0.01603,-0.06735,1.00000
Panama,0.13813,0.16609,-0.20580,-0.19246,1.00000
Paraguay,0.13600,0.38953,-0.24205,-0.11325,1.00000
Peru,0.18097,0.26678,-0.07865,0.01548,1.00000
Philippines,0.23925,0.30236,-0.03566,-0.05577,1.00000
Portugal,0.15236,0.12831,-0.04456,-0.10609,1.00000
Rwanda,0.09852,0.48616,-0.15489,-0.16661,1.00000
Senegal,0.14496,0.26317,-0.10296,-0.14313,1.00000
South Africa,0.19804,0.21120,-0.07429,-0.04198,1.00000
Spain,0.17833,0.17009,-0.01585,-0.05023,2.00000
Sri Lanka,0.16935,0.32284,-0.08436,-0.09639,1.00000
Sudan,0.07384,0.47984,-0.10339,-0.05400,1.00000
Sweden,0.21327,0.12809,0.03939,0.02322,2.00000
Switzerland,0.19691,0.09275,0.03240,0.00284,2.00000
Tanzania,0.07871,0.48688,-0.11165,-0.11653,1.00000
Thailand,0.28416,0.18675,-0.04264,-0.02974,1.00000
Togo,0.08129,0.48346,-0.17450,-0.17709,1.00000
Turkey,0.19832,0.27722,-0.04100,-0.06120,1.00000
Uganda,0.07642,0.49513,-0.13750,-0.14156,1.00000
United Kingdom,0.16582,0.13128,-0.01138,-0.03674,2.00000
Uruguay,0.19372,0.19037,-0.05869,-0.02278,1.00000
"Venezuela, RB",0.16268,0.37506,-0.11462,0.09101,1.00000
"Yemen, Rep.",0.11697,0.70372,-0.15088,-0.03299,1.00000
Zimbabwe,0.18671,0.27129,-0.12040,-0.04667,1.00000

