Panel,Parameter,Symbol,Value,Source
"Structural parameters","Discount factor","beta",0.980,"Aguiar and Gopinath (2007)"
"Structural parameters","Risk aversion","gamma",2.000,"Aguiar and Gopinath (2007)"
"Structural parameters","Labor supply elasticity","nu",1.455,"Schmitt-Grohé and Uribe (2018)"
"Structural parameters","Elasticity of subst. (T vs NT)","sigma",0.500,"See Section IV.A"
"Structural parameters","Elasticity of subst. (C vs M)","sigma_tau",1.000,"See Section IV.A"
"Structural parameters","Capital share (Non-tradables)","theta_n",0.250,"Schmitt-Grohé and Uribe (2018)"
"Structural parameters","Capital share (Tradables)","theta_m",0.350,"Schmitt-Grohé and Uribe (2018)"
"Structural parameters","Decreasing returns to scale","mu",0.850,"See Section IV.A"
"Structural parameters","Debt elasticity of interest ra","psi_r",0.001,"See Section IV.A"
"Structural parameters","World interest rate","r_star",0.020,"1/beta - 1"
"Structural parameters","Depreciation rate","delta",0.050,"Aguiar and Gopinath (2007)"
"Price process","Persistence of relative price","rho_c",0.957,"See Section IV.A"
"Price process","Volatility of relative price","sigma_c",0.059,"See Section IV.A"
